family,reach_km,reach_bbox_deg2,reach_hull
Temeinic,53.10088608788292,0.08362950000000006,0.122876591774055
Cahuapanan,52.865021808015015,0.09728160299999734,0.122816053584784
South-Eastern Tasmanian,51.94676847253036,0.13941314226399948,1.37342546751703
Tequistlatecan,51.20171226873099,0.06308702999999516,271.480090569724
Kayagaric,48.53342720418737,0.09940419999999654,471.151845590866
Baibai-Fas,48.25304575697933,0.09382179999999599,0.0428478940580221
Katla-Tima,47.41767965947344,0.10712395857600022,354.100675836192
Huavean,47.03540444553401,0.06009514999999942,324.431604830509
Yuat,46.45143546053886,0.07565599999999924,416.504968238778
Walioic,46.04767026934829,0.05940312000000583,208.275648709995
Kaure-Kosare,44.4909914848412,0.022549200000006472,0.00773631689268726
Pahoturi,44.247912393342425,0.07517895000000747,0.0784041434332661
Left May,41.40462189266982,0.08763066000000497,541.48255280398
Keram,41.30380806329824,0.060231599999997394,246.375383810015
Marrku-Wurrugu,37.019135850289146,0.05160279999999882,0.0862916966563611
Senagi,35.33155523876521,0.04878972000000186,0.0217522456634234
Kwomtari-Nai,34.46253953370815,0.04797940000000077,0.0176511889167179
East Kutubu,27.02166189259992,0.02881683999999666,0.013939201853755
Kwalean,26.04283966920121,0.0055932000000005625,26.4421995448799
Hatam-Mansim,24.68745869894336,0.00570110630400421,0.000307990040110974
Teberan,23.620984657005305,0.010894679999999402,0.0038506493296916
Nimboranic,22.831216619294647,0.038532450000002424,259.007712379744
Piawi,22.497414133230212,0.006219510000000128,0.00993989574971706
Rashad,21.694807277056007,0.01486338000000016,0.020137367228668
Bayono-Awbono,21.264333826558207,0.016962709999999874,0.00476467206177425
Namla-Tofanma,19.72031836058123,0.011262179999998102,0.00187699715871644
Taulil-Butam,16.99902788020056,0.004135398604000167,0.00371409085248146
Yawa-Saweru,16.311684732658247,0.004711409999998152,0.000308409713471129
Coosan,15.515078031779298,0.011740399999999672,0.0334601382503888
Konda-Yahadian,13.607190245330568,0.004205520000000165,0.000239398941093564
Doso-Turumsa,12.751474044110994,0.006540159999999558,0.00218524465297125
Amto-Musan,11.793577291595494,0.005550929999999235,0.000880441018619871
Bogia,10.26006904333694,0.0033236000000017134,0.000347418426521883
Tegem,NA,0,2.03830008427275e-23
